Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9073504273504274,0.9073504273504274,0.9073504273504274,0.9073504273504274
100,3.0,0.5915995115995116,0.5915995115995116,0.5915995115995116,0.5915995115995116
100,5.0,0.7527838827838828,0.7527838827838828,0.7527838827838828,0.7527838827838828
200,,0.9084615384615384,0.9084615384615384,0.9084615384615384,0.9084615384615384
200,3.0,0.5684737484737484,0.5684737484737484,0.5684737484737484,0.5684737484737484
200,5.0,0.7549206349206349,0.7549206349206349,0.7549206349206349,0.7549206349206349
300,,0.9073382173382173,0.9073382173382173,0.9073382173382173,0.9073382173382173
300,3.0,0.5673748473748473,0.5673748473748473,0.5673748473748473,0.5673748473748473
300,5.0,0.755006105006105,0.755006105006105,0.755006105006105,0.755006105006105
