Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.892967032967033,0.892967032967033,0.892967032967033,0.892967032967033
100,3.0,0.5750183150183149,0.5750183150183149,0.5750183150183149,0.5750183150183149
100,5.0,0.6831990231990231,0.6831990231990231,0.6831990231990231,0.6831990231990231
200,,0.8929304029304029,0.8929304029304029,0.8929304029304029,0.8929304029304029
200,3.0,0.5739804639804639,0.5739804639804639,0.5739804639804639,0.5739804639804639
200,5.0,0.6777167277167278,0.6777167277167278,0.6777167277167278,0.6777167277167278
300,,0.8907081807081807,0.8907081807081807,0.8907081807081807,0.8907081807081807
300,3.0,0.575067155067155,0.575067155067155,0.575067155067155,0.575067155067155
300,5.0,0.6843345543345544,0.6843345543345544,0.6843345543345544,0.6843345543345544
