C,Kernel,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
0.1,linear,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998
0.1,rbf,0.23095238095238094,0.23095238095238094,0.23095238095238094,0.23095238095238094
0.1,sigmoid,0.2397557997557998,0.2397557997557998,0.2397557997557998,0.2397557997557998
1.0,linear,0.2322100122100122,0.2322100122100122,0.2322100122100122,0.2322100122100122
1.0,rbf,0.23206349206349203,0.23206349206349203,0.23206349206349203,0.23206349206349203
1.0,sigmoid,0.23864468864468869,0.23864468864468869,0.23864468864468869,0.23864468864468869
