Model,Precision
KNN,74.0713878868426
SVM,80.48889310803114
MLP,88.21473324473133
Decision Tree,91.31365103474464
Decision Tree + Bagging,81.92804252895387
Decision Tree + Out of Bag,92.7541294854756
Decision Tree + AdaBoost,91.05221188532373
Random Forest,91.57641921397381
