Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9340126984126986,0.9340126984126986,0.9340126984126986,0.9340126984126986
100,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
100,5.0,0.7114285714285713,0.7114285714285713,0.7114285714285713,0.7114285714285713
200,,0.9395873015873015,0.9395873015873015,0.9395873015873015,0.9395873015873015
200,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
200,5.0,0.7082603174603174,0.7082603174603174,0.7082603174603174,0.7082603174603174
300,,0.9356190476190477,0.9356190476190477,0.9356190476190477,0.9356190476190477
300,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
300,5.0,0.7090603174603174,0.7090603174603174,0.7090603174603174,0.7090603174603174
