Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9379746031746032,0.9379746031746032,0.9379746031746032,0.9379746031746032
100,3.0,0.7861777777777778,0.7861777777777778,0.7861777777777778,0.7861777777777778
100,5.0,0.8601015873015874,0.8601015873015874,0.8601015873015874,0.8601015873015874
200,,0.940361904761905,0.940361904761905,0.940361904761905,0.940361904761905
200,3.0,0.7853777777777777,0.7853777777777777,0.7853777777777777,0.7853777777777777
200,5.0,0.862488888888889,0.862488888888889,0.862488888888889,0.862488888888889
300,,0.9403809523809524,0.9403809523809524,0.9403809523809524,0.9403809523809524
300,3.0,0.7861777777777778,0.7861777777777778,0.7861777777777778,0.7861777777777778
300,5.0,0.8616952380952382,0.8616952380952382,0.8616952380952382,0.8616952380952382
