C,Kernel,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
0.1,linear,0.0771111111111111,0.0771111111111111,0.0771111111111111,0.0771111111111111
0.1,rbf,0.06916190476190474,0.06916190476190474,0.06916190476190474,0.06916190476190474
0.1,sigmoid,0.06836825396825395,0.06836825396825395,0.06836825396825395,0.06836825396825395
1.0,linear,0.0628126984126984,0.0628126984126984,0.0628126984126984,0.0628126984126984
1.0,rbf,0.06757460317460315,0.06757460317460315,0.06757460317460315,0.06757460317460315
1.0,sigmoid,0.06995555555555553,0.06995555555555553,0.06995555555555553,0.06995555555555553
