Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9220825396825398,0.9220825396825398,0.9220825396825398,0.9220825396825398
100,3.0,0.840184126984127,0.840184126984127,0.840184126984127,0.840184126984127
100,5.0,0.9355809523809524,0.9355809523809524,0.9355809523809524,0.9355809523809524
200,,0.9220825396825398,0.9220825396825398,0.9220825396825398,0.9220825396825398
200,3.0,0.8600952380952382,0.8600952380952382,0.8600952380952382,0.8600952380952382
200,5.0,0.9331682539682541,0.9331682539682541,0.9331682539682541,0.9331682539682541
300,,0.9220825396825398,0.9220825396825398,0.9220825396825398,0.9220825396825398
300,3.0,0.8680253968253968,0.8680253968253968,0.8680253968253968,0.8680253968253968
300,5.0,0.9363555555555555,0.9363555555555555,0.9363555555555555,0.9363555555555555
