Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9316126984126984,0.9316126984126984,0.9316126984126984,0.9316126984126984
100,3.0,0.6891936507936507,0.6891936507936507,0.6891936507936507,0.6891936507936507
100,5.0,0.7082666666666666,0.7082666666666666,0.7082666666666666,0.7082666666666666
200,,0.9371873015873016,0.9371873015873016,0.9371873015873016,0.9371873015873016
200,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
200,5.0,0.7074666666666666,0.7074666666666666,0.7074666666666666,0.7074666666666666
300,,0.9356000000000002,0.9356000000000002,0.9356000000000002,0.9356000000000002
300,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
300,5.0,0.7074666666666666,0.7074666666666666,0.7074666666666666,0.7074666666666666
