Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9332126984126983,0.9332126984126983,0.9332126984126983,0.9332126984126983
100,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
100,5.0,0.7066730158730158,0.7066730158730158,0.7066730158730158,0.7066730158730158
200,,0.9364000000000001,0.9364000000000001,0.9364000000000001,0.9364000000000001
200,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
200,5.0,0.7042920634920634,0.7042920634920634,0.7042920634920634,0.7042920634920634
300,,0.9364063492063492,0.9364063492063492,0.9364063492063492,0.9364063492063492
300,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
300,5.0,0.705079365079365,0.705079365079365,0.705079365079365,0.705079365079365
