Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.8192804252895387,0.8192804252895387,0.8192804252895387,0.8192804252895387
100,3.0,0.6996791342320107,0.6996791342320107,0.6996791342320107,0.6996791342320107
100,5.0,0.7861040440478451,0.7861040440478451,0.7861040440478451,0.7861040440478451
200,,0.8188513385228783,0.8188513385228783,0.8188513385228783,0.8188513385228783
200,3.0,0.7001177140687298,0.7001177140687298,0.7001177140687298,0.7001177140687298
200,5.0,0.7869812037212836,0.7869812037212836,0.7869812037212836,0.7869812037212836
300,,0.8240839187393203,0.8240839187393203,0.8240839187393203,0.8240839187393204
300,3.0,0.7101556863489652,0.7101556863489652,0.7101556863489652,0.7101556863489652
300,5.0,0.7935352192899184,0.7935352192899184,0.7935352192899184,0.7935352192899184
