Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9157603949117143,0.9157603949117143,0.9157603949117143,0.9157603949117143
100,3.0,0.52815644579457,0.52815644579457,0.52815644579457,0.52815644579457
100,5.0,0.6180596164799697,0.6180596164799697,0.6180596164799697,0.6180596164799697
200,,0.9161989747484336,0.9161989747484336,0.9161989747484336,0.9161989747484336
200,3.0,0.5307765331308145,0.5307765331308145,0.5307765331308145,0.5307765331308145
200,5.0,0.6228631099297512,0.6228631099297512,0.6228631099297512,0.6228631099297512
300,,0.9166337573571293,0.9166337573571293,0.9166337573571293,0.9166337573571293
300,3.0,0.5272830833491552,0.5272830833491552,0.5272830833491552,0.5272830833491552
300,5.0,0.6171919498765901,0.6171919498765901,0.6171919498765901,0.6171919498765901
