Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.921437250806911,0.921437250806911,0.921437250806911,0.921437250806911
100,3.0,0.5364495917979875,0.5364495917979875,0.5364495917979875,0.5364495917979875
100,5.0,0.6163128915891398,0.6163128915891398,0.6163128915891398,0.6163128915891398
200,,0.9148870324662995,0.9148870324662995,0.9148870324662995,0.9148870324662995
200,3.0,0.5351376495158534,0.5351376495158534,0.5351376495158534,0.5351376495158534
200,5.0,0.6254831972659958,0.6254831972659958,0.6254831972659958,0.6254831972659958
300,,0.9183823808619707,0.9183823808619707,0.9183823808619707,0.9183823808619707
300,3.0,0.5320865767989368,0.5320865767989368,0.5320865767989368,0.5320865767989368
300,5.0,0.619800645528764,0.619800645528764,0.619800645528764,0.619800645528764
