Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9356063492063491,0.9356063492063491,0.9356063492063491,0.9356063492063491
100,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
100,5.0,0.7122285714285714,0.7122285714285714,0.7122285714285714,0.7122285714285714
200,,0.9348126984126985,0.9348126984126985,0.9348126984126985,0.9348126984126985
200,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
200,5.0,0.7026984126984126,0.7026984126984126,0.7026984126984126,0.7026984126984126
300,,0.9356000000000002,0.9356000000000002,0.9356000000000002,0.9356000000000002
300,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
300,5.0,0.7066666666666666,0.7066666666666666,0.7066666666666666,0.7066666666666666
