Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9348063492063492,0.9348063492063492,0.9348063492063492,0.9348063492063492
100,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
100,5.0,0.710647619047619,0.710647619047619,0.710647619047619,0.710647619047619
200,,0.9347936507936507,0.9347936507936507,0.9347936507936507,0.9347936507936507
200,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
200,5.0,0.7098603174603174,0.7098603174603174,0.7098603174603174,0.7098603174603174
300,,0.9371936507936509,0.9371936507936509,0.9371936507936509,0.9371936507936509
300,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
300,5.0,0.7074666666666666,0.7074666666666666,0.7074666666666666,0.7074666666666666
