K,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
1,0.03416507936507936,0.03416507936507936,0.03416507936507936,0.03416507936507936
3,0.05403809523809523,0.05403809523809523,0.05403809523809523,0.05403809523809523
5,0.07151746031746031,0.07151746031746031,0.07151746031746031,0.07151746031746031
7,0.07946666666666666,0.07946666666666666,0.07946666666666666,0.07946666666666666
9,0.08505396825396824,0.08505396825396824,0.08505396825396824,0.08505396825396824
