Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
,0.9126998291247389,0.9126998291247389,0.9126998291247389,0.9126998291247389
3.0,0.6678222897284982,0.6678222897284982,0.6678222897284982,0.6678222897284982
5.0,0.8140573381431555,0.8140573381431555,0.8140573381431555,0.8140573381431555
