K,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
1,0.04190430985380672,0.04190430985380672,0.04190430985380672,0.04190430985380672
3,0.05543573191570154,0.05543573191570154,0.05543573191570154,0.05543573191570154
5,0.06198405164230112,0.06198405164230112,0.06198405164230112,0.06198405164230112
7,0.07551927093221948,0.07551927093221948,0.07551927093221948,0.07551927093221948
9,0.08468957660907538,0.08468957660907538,0.08468957660907538,0.08468957660907538
