Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.927541294854756,0.927541294854756,0.927541294854756,0.927541294854756
100,3.0,0.6665160432883995,0.6665160432883995,0.6665160432883995,0.6665160432883995
100,5.0,0.8258325422441619,0.8258325422441619,0.8258325422441619,0.8258325422441619
200,,0.926669831023353,0.926669831023353,0.926669831023353,0.926669831023353
200,3.0,0.666952724511107,0.666952724511107,0.666952724511107,0.666952724511107
200,5.0,0.8249610784127587,0.8249610784127587,0.8249610784127587,0.8249610784127587
300,,0.926669831023353,0.926669831023353,0.926669831023353,0.926669831023353
300,3.0,0.6652059996202773,0.6652059996202773,0.6652059996202773,0.6652059996202773
300,5.0,0.8245243971900512,0.8245243971900512,0.8245243971900512,0.8245243971900512
