Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9183766850199353,0.9183766850199353,0.9183766850199353,0.9183766850199353
100,3.0,0.5255287640022784,0.5255287640022784,0.5255287640022784,0.5255287640022784
100,5.0,0.612825137649516,0.612825137649516,0.612825137649516,0.612825137649516
200,,0.9122650465160433,0.9122650465160433,0.9122650465160433,0.9122650465160433
200,3.0,0.5294626922346687,0.5294626922346687,0.5294626922346687,0.5294626922346687
200,5.0,0.6149990506929941,0.6149990506929941,0.6149990506929941,0.6149990506929941
300,,0.91619517752041,0.91619517752041,0.91619517752041,0.91619517752041
300,3.0,0.5307746345168027,0.5307746345168027,0.5307746345168027,0.5307746345168027
300,5.0,0.6211239794949688,0.6211239794949688,0.6211239794949688,0.6211239794949688
