Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9166261629010821,0.9166261629010821,0.9166261629010821,0.9166261629010821
100,3.0,0.5408107081830262,0.5408107081830262,0.5408107081830262,0.5408107081830262
100,5.0,0.6232940953104233,0.6232940953104233,0.6232940953104233,0.6232940953104233
200,,0.9157622935257261,0.9157622935257261,0.9157622935257261,0.9157622935257261
200,3.0,0.5368805771786596,0.5368805771786596,0.5368805771786596,0.5368805771786596
200,5.0,0.625050313271312,0.625050313271312,0.625050313271312,0.625050313271312
300,,0.9183842794759824,0.9183842794759824,0.9183842794759824,0.9183842794759824
300,3.0,0.5351376495158534,0.5351376495158534,0.5351376495158534,0.5351376495158534
300,5.0,0.6241731535978735,0.6241731535978735,0.6241731535978735,0.6241731535978735
