C,Kernel,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
0.1,linear,0.08162711220808809,0.08162711220808809,0.08162711220808809,0.08162711220808809
0.1,rbf,0.05063793430795519,0.05063793430795519,0.05063793430795519,0.05063793430795519
0.1,sigmoid,0.04494968672868806,0.04494968672868806,0.04494968672868806,0.04494968672868806
1.0,linear,0.05194797797607746,0.05194797797607746,0.05194797797607746,0.05194797797607746
1.0,rbf,0.052819441807480536,0.052819441807480536,0.052819441807480536,0.052819441807480536
1.0,sigmoid,0.04845073096639453,0.04845073096639453,0.04845073096639453,0.04845073096639453
