Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9105221188532372,0.9105221188532372,0.9105221188532372,0.9105221188532372
100,3.0,0.7472640972090374,0.7472640972090374,0.7472640972090374,0.7472640972090374
100,5.0,0.887385608505791,0.887385608505791,0.887385608505791,0.887385608505791
200,,0.9096487564078222,0.9096487564078222,0.9096487564078222,0.9096487564078222
200,3.0,0.7786975507879248,0.7786975507879248,0.7786975507879248,0.7786975507879248
200,5.0,0.9044047845073097,0.9044047845073097,0.9044047845073097,0.9044047845073097
300,,0.9100835390165181,0.9100835390165181,0.9100835390165181,0.9100835390165181
300,3.0,0.7830358838048225,0.7830358838048225,0.7830358838048225,0.7830358838048225
300,5.0,0.908331118283653,0.908331118283653,0.908331118283653,0.908331118283653
