Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9166337573571293,0.9166337573571293,0.9166337573571293,0.9166337573571293
100,3.0,0.5303398519081071,0.5303398519081071,0.5303398519081071,0.5303398519081071
100,5.0,0.6232997911524587,0.6232997911524587,0.6232997911524587,0.6232997911524587
200,,0.9148851338522878,0.9148851338522878,0.9148851338522878,0.9148851338522878
200,3.0,0.5268464021264476,0.5268464021264476,0.5268464021264476,0.5268464021264476
200,5.0,0.6198082399848109,0.6198082399848109,0.6198082399848109,0.6198082399848109
300,,0.9148851338522878,0.9148851338522878,0.9148851338522878,0.9148851338522878
300,3.0,0.5299012720713878,0.5299012720713878,0.5299012720713878,0.5299012720713878
300,5.0,0.6123884564268084,0.6123884564268084,0.6123884564268084,0.6123884564268084
