Selected Features
nhietdo_on_dinh
nhiptho_on_dinh
chieucao
cannang
huyetap1_on_dinh
lydovaovien_khokhe
lydovaovien_thocokeo
lydovaovien_sot
lydovaovien_ho
lydovaovien_nhucdau
lydovaovien_honme
lydovaovien_noikho
lydovaovien_daubung
lydovaovien_tieuphanlong
lydovaovien_daunguc
lydovaovien_nangnguc
lydovaovien_dieutritiep
lydovaovien_doihoso
hoibenh_tinhtao
hoibenh_thooxy
hoibenh_viemphoi
hoibenh_khotho_ngaykhoiphat
hoibenh_khokhe
hoibenh_thonhanh
hoibenh_sot_ngaykhoiphat
hoibenh_honme
hoibenh_meomieng
hoibenh_matkhuugiac
hoibenh_runtaychan
hoibenh_nonoi
hoibenh_tieumau
hoibenh_onlanh
hoibenh_dauhasuon(P)
hoibenh_daumansuon(P)
hoibenh_daulung
hoibenh_dautay
hoibenh_dauchan
hoibenh_yeunuanguoi(P)
hoibenh_yeunuanguoi(T)
hoibenh_tetay
hoibenh_sungphumat
hoibenh_ramau
tiensu_khoe
tiensu_COVID(+)_dadieutri
tiensu_tanghuyetap
tiensu_daithaoduong_1
tiensu_dichungmachmaunao
tiensu_xuathuyettieuhoa
tiensu_cushing
tiensu_Thalassaemia
tiensu_roiloanLipidmau
tiensu_suytim
tiensu_rungnhi
tiensu_suythan
tiensu_dotquy
tiensu_laophoi
tiensu_trandichmangphoi
tiensu_diunghaisan
tiensu_tramcam
tiensu_thoaihoakhop
tiensu_viemkhop
tiensu_mocotsong
tiensu_mocuommat
tiensu_haCalci
tiensu_sotcaocogiat
tiensu_noimeday
tiensu_sosinh
khambenh_honme
khambenh_ho
khambenh_hodam
khambenh_tiepxuctot
khambenh_daniemvang
khambenh_chiam
khambenh_thonhanh
khambenh_cogiat
khambenh_SpO2
khambenh_thooxy
khambenh_thokhitroi
khambenh_ chuatieuphan
khambenh_tieuphanlong
khambenh_colomnguc
khambenh_nangnguc
khambenh_nonoi
khambenh_sungdaungonbanchan(T)
khambenh_sungdaucangtay(P)
khambenh_sungdaunuourang
khambenh_sungphutay
khambenh_tangCushing
khambenh_tongtrangsuydinhduong
khambenh_tongtranggay
khambenh_tongtrangsuykiet
khambenh_yeunuanguoi(P)
khambenh_yeunuanguoi(T)
khambenh_yeu2chan
khambenh_lietnuanguoi(P)
caccoquan_hohap_phoiraleno
caccoquan_hohap_phoiraleam
caccoquan_hohap_phoitho
caccoquan_hohap_cokeoco
caccoquan_tuanhoan_binhthuong
