Model,Precision
KNN,74.05276091266742
SVM,80.91355128996561
MLP,89.47533124149818
Decision Tree,91.87151525432719
Decision Tree + Bagging,78.61350557593694
Decision Tree + Out of Bag,92.92772737165328
Decision Tree + AdaBoost,91.21005967635261
Random Forest,92.07908215979174
