Model,Accuracy,Precision,Recall,F1 Score,Training Time (s)
KNN,88.51965,88.76496,88.51965,88.41209,0.66006
SVM,54.86615,49.81656,54.86615,44.55617,29.72579
MLP,69.0524,69.27843,69.0524,67.67619,28.59985
DCT,91.6199,91.88908,91.6199,91.5915,0.21799
DCT_BG,92.27378,92.41667,92.27378,92.19312,13.84772
DCT_Ada,91.57509,91.73299,91.57509,91.50458,125.12307
RF,93.32125,93.36205,93.32125,93.19292,16.97703
