Selected Features
nhiptho_on_dinh
chieucao
cannang
lydovaovien_thocokeo
lydovaovien_ho
hoibenh_khotho_ngaykhoiphat
hoibenh_sot_ngaykhoiphat
hoibenh_daumansuon(P)
tiensu_khoe
tiensu_suytim
tiensu_suythan
tiensu_laophoi
tiensu_diunghaisan
tiensu_noimeday
tiensu_sosinh
khambenh_tiepxuctot
khambenh_SpO2
khambenh_thooxy
khambenh_tongtranggay
khambenh_tongtrangsuykiet
caccoquan_hohap_phoiraleno
caccoquan_hohap_phoiraleam
caccoquan_hohap_phoitho
caccoquan_hohap_cokeoco
caccoquan_tuanhoan_binhthuong
