Model,Accuracy,Precision,Recall,F1 Score,Training Time (s)
KNN,91.13917,91.26012,91.13917,91.06978,0.531
SVM,93.27739,93.34507,93.27739,93.17294,19.85717
MLP,92.88532,93.03413,92.88532,92.77892,73.45453
DCT,91.13898,91.28722,91.13898,91.05078,0.44484
DCT_BG,92.97209,93.10742,92.97209,92.85549,98.1044
DCT_Ada,91.53237,91.56893,91.53237,91.4253,43.27896
RF,93.53921,93.67228,93.53921,93.40555,15.47564
