Model,Accuracy
KNN,87.25422441617619
SVM,82.40972090374028
MLP,87.95367381811278
Decision Tree,90.96582494778811
Decision Tree + Bagging,81.79722802354281
Decision Tree + Out of Bag,92.88513385228782
Decision Tree + AdaBoost,91.0083539016518
Random Forest,91.79513954812987
