Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9316126984126984,0.9316126984126984,0.9316126984126984,0.9316126984126984
100,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
100,5.0,0.7122476190476189,0.7122476190476189,0.7122476190476189,0.7122476190476189
200,,0.9371936507936507,0.9371936507936507,0.9371936507936507,0.9371936507936507
200,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
200,5.0,0.7090539682539682,0.7090539682539682,0.7090539682539682,0.7090539682539682
300,,0.9380063492063492,0.9380063492063492,0.9380063492063492,0.9380063492063492
300,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
300,5.0,0.7082603174603174,0.7082603174603174,0.7082603174603174,0.7082603174603174
