Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9339873015873017,0.9339873015873017,0.9339873015873017,0.9339873015873017
100,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
100,5.0,0.7098476190476191,0.7098476190476191,0.7098476190476191,0.7098476190476191
200,,0.936393650793651,0.936393650793651,0.936393650793651,0.936393650793651
200,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
200,5.0,0.7074666666666666,0.7074666666666666,0.7074666666666666,0.7074666666666666
300,,0.9340063492063493,0.9340063492063493,0.9340063492063493,0.9340063492063493
300,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
300,5.0,0.705879365079365,0.705879365079365,0.705879365079365,0.705879365079365
