Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.8521714285714287,0.8521714285714287,0.8521714285714287,0.8521714285714287
100,3.0,0.7758539682539681,0.7758539682539681,0.7758539682539681,0.7758539682539681
100,5.0,0.8084380952380952,0.8084380952380952,0.8084380952380952,0.8084380952380952
200,,0.855352380952381,0.855352380952381,0.855352380952381,0.855352380952381
200,3.0,0.7694730158730158,0.7694730158730158,0.7694730158730158,0.7694730158730158
200,5.0,0.809231746031746,0.809231746031746,0.809231746031746,0.809231746031746
300,,0.861720634920635,0.861720634920635,0.861720634920635,0.861720634920635
300,3.0,0.7710603174603173,0.7710603174603173,0.7710603174603173,0.7710603174603173
300,5.0,0.8171873015873017,0.8171873015873017,0.8171873015873017,0.8171873015873017
