C,Kernel,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
0.1,linear,0.07157460317460317,0.07157460317460317,0.07157460317460317,0.07157460317460317
0.1,rbf,0.06678095238095236,0.06678095238095236,0.06678095238095236,0.06678095238095236
0.1,sigmoid,0.06995555555555553,0.06995555555555553,0.06995555555555553,0.06995555555555553
1.0,linear,0.06439999999999999,0.06439999999999999,0.06439999999999999,0.06439999999999999
1.0,rbf,0.06996190476190475,0.06996190476190475,0.06996190476190475,0.06996190476190475
1.0,sigmoid,0.07313015873015871,0.07313015873015871,0.07313015873015871,0.07313015873015871
