Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9148813366242642,0.9148813366242642,0.9148813366242642,0.9148813366242642
100,3.0,0.5294683880767039,0.5294683880767039,0.5294683880767039,0.5294683880767039
100,5.0,0.6128289348775393,0.6128289348775393,0.6128289348775393,0.6128289348775393
200,,0.9166337573571293,0.9166337573571293,0.9166337573571293,0.9166337573571293
200,3.0,0.5290279096259731,0.5290279096259731,0.5290279096259731,0.5290279096259731
200,5.0,0.6171862540345547,0.6171862540345547,0.6171862540345547,0.6171862540345547
300,,0.9166337573571293,0.9166337573571293,0.9166337573571293,0.9166337573571293
300,3.0,0.5264097209037403,0.5264097209037403,0.5264097209037403,0.5264097209037403
300,5.0,0.6237421682172015,0.6237421682172015,0.6237421682172015,0.6237421682172015
