Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.862124542124542,0.862124542124542,0.862124542124542,0.8621245421245423
100,3.0,0.8234554334554336,0.8234554334554336,0.8234554334554336,0.8234554334554336
100,5.0,0.8643101343101343,0.8643101343101343,0.8643101343101343,0.8643101343101343
200,,0.8632112332112332,0.8632112332112332,0.8632112332112332,0.8632112332112332
200,3.0,0.8256166056166055,0.8256166056166055,0.8256166056166055,0.8256166056166055
200,5.0,0.862087912087912,0.862087912087912,0.862087912087912,0.862087912087912
300,,0.8643223443223442,0.8643223443223442,0.8643223443223442,0.8643223443223442
300,3.0,0.8267277167277166,0.8267277167277166,0.8267277167277166,0.8267277167277166
300,5.0,0.8654212454212453,0.8654212454212453,0.8654212454212453,0.8654212454212453
