C,Kernel,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
0.1,linear,0.22888888888888886,0.22888888888888886,0.22888888888888886,0.22888888888888886
0.1,rbf,0.23316239316239312,0.23316239316239312,0.23316239316239312,0.23316239316239312
0.1,sigmoid,0.24200244200244203,0.24200244200244203,0.24200244200244203,0.24200244200244203
1.0,linear,0.22888888888888886,0.22888888888888886,0.22888888888888886,0.22888888888888886
1.0,rbf,0.23426129426129422,0.23426129426129422,0.23426129426129422,0.23426129426129422
1.0,sigmoid,0.23974358974358978,0.23974358974358978,0.23974358974358978,0.23974358974358978
