Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9161932789063985,0.9161932789063985,0.9161932789063985,0.9161932789063985
100,3.0,0.5294664894626923,0.5294664894626923,0.5294664894626923,0.5294664894626923
100,5.0,0.6167552686538826,0.6167552686538826,0.6167552686538826,0.6167552686538826
200,,0.9196867286880577,0.9196867286880577,0.9196867286880577,0.9196867286880577
200,3.0,0.5285912284032657,0.5285912284032657,0.5285912284032657,0.5285912284032657
200,5.0,0.6185000949307005,0.6185000949307005,0.6185000949307005,0.6185000949307005
300,,0.9157603949117143,0.9157603949117143,0.9157603949117143,0.9157603949117143
300,3.0,0.5290298082399849,0.5290298082399849,0.5290298082399849,0.5290298082399849
300,5.0,0.6211201822669451,0.6211201822669451,0.6211201822669451,0.6211201822669451
