Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9135769887981773,0.9135769887981773,0.9135769887981773,0.9135769887981773
100,3.0,0.5347028669071578,0.5347028669071578,0.5347028669071578,0.5347028669071578
100,5.0,0.6163166888171634,0.6163166888171634,0.6163166888171634,0.6163166888171634
200,,0.9131441048034935,0.9131441048034935,0.9131441048034935,0.9131441048034935
200,3.0,0.5355724321245491,0.5355724321245491,0.5355724321245491,0.5355724321245491
200,5.0,0.6241712549838618,0.6241712549838618,0.6241712549838618,0.6241712549838618
300,,0.9179438010252514,0.9179438010252514,0.9179438010252514,0.9179438010252514
300,3.0,0.5381944180748054,0.5381944180748054,0.5381944180748054,0.5381944180748054
300,5.0,0.627664704765521,0.627664704765521,0.627664704765521,0.627664704765521
