max_depth, n_estimators, accuracy
19, 900, 0.9301537877349535
20, 100, 0.9301518891209415
20, 200, 0.9305885703436492
20, 300, 0.9318967153977595
20, 400, 0.931461932789064
20, 500, 0.9318986140117713
20, 600, 0.932333396620467
20, 700, 0.9305885703436492
20, 800, 0.9318986140117713
20, 900, 0.9305885703436492
21, 100, 0.9310252515663565
21, 200, 0.9353901651794189
21, 300, 0.930590468957661
21, 400, 0.9327719764571862
21, 500, 0.9310252515663565
21, 600, 0.9305885703436492
21, 700, 0.931461932789064
21, 800, 0.9301518891209417
21, 900, 0.9305866717296374
22, 100, 0.9292766280615151
22, 200, 0.93320486045187
22, 300, 0.9353920637934307
22, 400, 0.933206759065882
22, 500, 0.9318967153977595
22, 600, 0.9332067590658818
22, 700, 0.9349534839567115
22, 800, 0.9345168027340041
22, 900, 0.932333396620467
23, 100, 0.9288399468388077
23, 200, 0.9314562369470286
23, 300, 0.9318948167837477
23, 400, 0.9314600341750522
23, 500, 0.9340801215112966
23, 600, 0.9332067590658818
23, 700, 0.9332067590658818
23, 800, 0.9332067590658818
23, 900, 0.9327700778431744
24, 100, 0.9310195557243212
24, 200, 0.9301480918929179
24, 300, 0.9301499905069299
24, 400, 0.9301518891209417
24, 500, 0.9292766280615151
24, 600, 0.9310233529523447
24, 700, 0.9305866717296374
24, 800, 0.9292766280615151
24, 900, 0.9305866717296374
25, 100, 0.9275299031706854
25, 200, 0.9318986140117713
25, 300, 0.9314600341750522
25, 400, 0.9332067590658818
25, 500, 0.9327719764571862
25, 600, 0.931461932789064
25, 700, 0.9323352952344788
25, 800, 0.9305885703436492
25, 900, 0.9323352952344788
26, 100, 0.9305866717296374
26, 200, 0.932333396620467
26, 300, 0.93320486045187
26, 400, 0.9332067590658818
26, 500, 0.9332067590658818
26, 600, 0.9349534839567115
26, 700, 0.9340801215112966
26, 800, 0.9332067590658818
26, 900, 0.9327700778431744
27, 100, 0.9310214543383329
27, 200, 0.9327681792291627
27, 300, 0.932333396620467
27, 400, 0.9336434402885893
27, 500, 0.9345168027340041
27, 600, 0.9345168027340041
27, 700, 0.9349534839567115
27, 800, 0.9345168027340041
27, 900, 0.9340801215112966
28, 100, 0.9310233529523447
28, 200, 0.9336434402885893
28, 300, 0.9336434402885894
28, 400, 0.9336434402885893
28, 500, 0.9340801215112966
28, 600, 0.9336434402885893
28, 700, 0.9336434402885893
28, 800, 0.9336434402885893
28, 900, 0.9336434402885893
29, 100, 0.9349515853426998
29, 200, 0.932333396620467
29, 300, 0.9345168027340041
29, 400, 0.932333396620467
29, 500, 0.9340801215112966
29, 600, 0.9336434402885893
29, 700, 0.9340801215112966
29, 800, 0.932333396620467
29, 900, 0.9327700778431744
30, 100, 0.9301461932789064
30, 200, 0.9323295993924434
30, 300, 0.9314600341750522
30, 400, 0.9314600341750522
30, 500, 0.9340801215112966
30, 600, 0.9310233529523447
30, 700, 0.9327700778431744
30, 800, 0.9314600341750522
30, 900, 0.9314600341750522
31, 100, 0.9314581355610404
31, 200, 0.9323295993924434
31, 300, 0.9310233529523447
31, 400, 0.9336434402885893
31, 500, 0.9345168027340041
31, 600, 0.9340801215112966
31, 700, 0.9340801215112966
31, 800, 0.932333396620467
31, 900, 0.9332067590658818
32, 100, 0.9292804252895385
32, 200, 0.9314562369470286
32, 300, 0.9332067590658818
32, 400, 0.9336434402885893
32, 500, 0.9327700778431744
32, 600, 0.9327700778431744
32, 700, 0.9336434402885893
32, 800, 0.9318967153977595
32, 900, 0.9327700778431744
33, 100, 0.9310252515663565
33, 200, 0.9310195557243212
33, 300, 0.9318967153977595
33, 400, 0.9310233529523447
33, 500, 0.932333396620467
33, 600, 0.9336434402885893
33, 700, 0.9345168027340041
33, 800, 0.9332067590658818
33, 900, 0.9327700778431744
34, 100, 0.9292785266755269
34, 200, 0.9314600341750522
