C, Accuracy, gamma
50, 0.9319005126257831, scale
50, 0.8463546610973989, auto
51, 0.9314638314030758, scale
51, 0.8463565597114104, auto
52, 0.9314638314030758, scale
52, 0.8472299221568257, auto
53, 0.9314638314030758, scale
53, 0.8485361685969242, auto
54, 0.9314638314030758, scale
54, 0.8498462122650465, auto
55, 0.9323371938484906, scale
55, 0.849409531042339, auto
56, 0.9323371938484906, scale
56, 0.8507195747104614, auto
57, 0.9323371938484906, scale
57, 0.8511562559331688, auto
58, 0.9323371938484906, scale
58, 0.8520296183785836, auto
59, 0.932773875071198, scale
59, 0.8533396620467061, auto
60, 0.932773875071198, scale
60, 0.8542130244921209, auto
61, 0.932773875071198, scale
61, 0.8546497057148283, auto
62, 0.932773875071198, scale
62, 0.8550844883235239, auto
63, 0.932773875071198, scale
63, 0.8546478071008166, auto
64, 0.932773875071198, scale
64, 0.8542111258781091, auto
65, 0.932773875071198, scale
65, 0.8550844883235239, auto
66, 0.932773875071198, scale
66, 0.8546478071008166, auto
67, 0.932773875071198, scale
67, 0.8550844883235239, auto
68, 0.932773875071198, scale
68, 0.8542111258781091, auto
69, 0.932773875071198, scale
69, 0.8542111258781091, auto
70, 0.932773875071198, scale
70, 0.8542111258781091, auto
71, 0.9323371938484906, scale
71, 0.8537744446554015, auto
72, 0.9323371938484906, scale
72, 0.8546478071008163, auto
73, 0.9323371938484906, scale
73, 0.8550844883235239, auto
74, 0.9323371938484906, scale
74, 0.8559559521549268, auto
75, 0.9319005126257831, scale
75, 0.855082589709512, auto
76, 0.9319005126257831, scale
76, 0.8555192709322196, auto
77, 0.9319005126257831, scale
77, 0.8563926333776344, auto
78, 0.9319005126257831, scale
78, 0.8568293146003418, auto
79, 0.9319005126257831, scale
79, 0.8585760394911714, auto
80, 0.9319005126257831, scale
80, 0.8590127207138789, auto
81, 0.9323352952344788, scale
81, 0.8590127207138789, auto
82, 0.9323352952344788, scale
82, 0.859451300550598, auto
83, 0.9323352952344788, scale
83, 0.8611980254414278, auto
84, 0.9323352952344788, scale
84, 0.8620713878868426, auto
85, 0.9323352952344788, scale
85, 0.8625080691095499, auto
86, 0.9323352952344788, scale
86, 0.8633814315549649, auto
87, 0.9323352952344788, scale
87, 0.8633814315549649, auto
88, 0.9323352952344788, scale
88, 0.8638181127776724, auto
89, 0.9323352952344788, scale
89, 0.8638181127776724, auto
90, 0.9323352952344788, scale
90, 0.8638181127776724, auto
91, 0.9323352952344788, scale
91, 0.8655629390544902, auto
92, 0.9323352952344788, scale
92, 0.868181127776723, auto
93, 0.9323352952344788, scale
93, 0.8686178089994303, auto
94, 0.9323352952344788, scale
94, 0.868181127776723, auto
95, 0.9323352952344788, scale
95, 0.8686159103854185, auto
96, 0.9323352952344788, scale
96, 0.8686178089994303, auto
97, 0.9323352952344788, scale
97, 0.8686178089994303, auto
98, 0.9323352952344788, scale
98, 0.8686178089994303, auto
99, 0.9323352952344788, scale
99, 0.8690544902221378, auto
100, 0.9323352952344788, scale
100, 0.8694911714448452, auto

Best value of C: 59
Best accuracy score: 0.932773875071198
Best gamma: scale
