Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.8962759462759463,0.8962759462759463,0.8962759462759463,0.8962759462759463
100,3.0,0.5728693528693528,0.5728693528693528,0.5728693528693528,0.5728693528693528
100,5.0,0.6776923076923078,0.6776923076923078,0.6776923076923078,0.6776923076923078
200,,0.8984615384615384,0.8984615384615384,0.8984615384615384,0.8984615384615384
200,3.0,0.5728693528693528,0.5728693528693528,0.5728693528693528,0.5728693528693528
200,5.0,0.6732844932844932,0.6732844932844932,0.6732844932844932,0.6732844932844932
300,,0.8951282051282051,0.8951282051282051,0.8951282051282051,0.8951282051282051
300,3.0,0.5805860805860805,0.5805860805860805,0.5805860805860805,0.5805860805860805
300,5.0,0.6799511599511601,0.6799511599511601,0.6799511599511601,0.6799511599511601
