Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.8973748473748474,0.8973748473748474,0.8973748473748474,0.8973748473748474
100,3.0,0.7196703296703297,0.7196703296703297,0.7196703296703297,0.7196703296703297
100,5.0,0.8576312576312578,0.8576312576312578,0.8576312576312578,0.8576312576312578
200,,0.8973748473748474,0.8973748473748474,0.8973748473748474,0.8973748473748474
200,3.0,0.7416849816849818,0.7416849816849818,0.7416849816849818,0.7416849816849818
200,5.0,0.8653479853479855,0.8653479853479855,0.8653479853479855,0.8653479853479855
300,,0.8973748473748474,0.8973748473748474,0.8973748473748474,0.8973748473748474
300,3.0,0.7515262515262515,0.7515262515262515,0.7515262515262515,0.7515262515262515
300,5.0,0.8664102564102565,0.8664102564102565,0.8664102564102565,0.8664102564102565
