C,Kernel,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
0.1,linear,0.22888888888888886,0.22888888888888886,0.22888888888888886,0.22888888888888886
0.1,rbf,0.23096459096459093,0.23096459096459093,0.23096459096459093,0.23096459096459093
0.1,sigmoid,0.2353601953601953,0.2353601953601953,0.2353601953601953,0.2353601953601953
1.0,linear,0.23109890109890108,0.23109890109890108,0.23109890109890108,0.23109890109890108
1.0,rbf,0.23317460317460315,0.23317460317460315,0.23317460317460315,0.23317460317460315
1.0,sigmoid,0.23864468864468869,0.23864468864468869,0.23864468864468869,0.23864468864468869
