Selected Features
sex
age
cannang
bmi
lydovaovien_chuyenvien
lydovaovien_suyhohap
lydovaovien_thocokeo
lydovaovien_nhucdau
lydovaovien_covid_1
lydovaovien_tieuphanlong
lydovaovien_dauhochau(P)
lydovaovien_nangnguc
hoibenh_viemphoi
hoibenh_thonhanh
hoibenh_matvigiac
hoibenh_khongtieuphan
hoibenh_dauthuongvi
hoibenh_yeunuanguoi(P)
hoibenh_yeuhaichan
hoibenh_tetay
hoibenh_sungphutoanthan
hoibenh_sungdaucangtay(P)
tiensu_tiemnguaCOVID
tiensu_traonguocdaday
tiensu_hepdongmachcanh
tiensu_viemgan
tiensu_cuonggiap
tiensu_uactuyengiap
tiensu_guot
tiensu_tramcam
tiensu_thoaihoacotsong
tiensu_soithan
tiensu_Lusbando
khambenh_met
khambenh_moihong
khambenh_thonhanh
khambenh_cogiat
khambenh_ chuatieuphan
khambenh_tieuphanlong
khambenh_colomnguc
khambenh_nangnguc
khambenh_nonoi
khambenh_sungdaucangtay(P)
khambenh_sungdaucotay(T)
khambenh_sungdaunuourang
khambenh_sungdaucangchan(T)
khambenh_sungphumat_eye
khambenh_yeunuanguoi(P)
caccoquan_hohap_phoigiamthongkhi
caccoquan_hohap_cokeoco
