Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9356,0.9356,0.9356,0.9356
100,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
100,5.0,0.7066730158730158,0.7066730158730158,0.7066730158730158,0.7066730158730158
200,,0.9347999999999999,0.9347999999999999,0.9347999999999999,0.9347999999999999
200,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
200,5.0,0.7098476190476191,0.7098476190476191,0.7098476190476191,0.7098476190476191
300,,0.9387873015873016,0.9387873015873016,0.9387873015873016,0.9387873015873016
300,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
300,5.0,0.7050920634920634,0.7050920634920634,0.7050920634920634,0.7050920634920634
