Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9340063492063493,0.9340063492063493,0.9340063492063493,0.9340063492063493
100,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
100,5.0,0.7082666666666666,0.7082666666666666,0.7082666666666666,0.7082666666666666
200,,0.9348063492063494,0.9348063492063494,0.9348063492063494,0.9348063492063494
200,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
200,5.0,0.7066730158730158,0.7066730158730158,0.7066730158730158,0.7066730158730158
300,,0.9363873015873017,0.9363873015873017,0.9363873015873017,0.9363873015873017
300,3.0,0.6883936507936508,0.6883936507936508,0.6883936507936508,0.6883936507936508
300,5.0,0.705879365079365,0.705879365079365,0.705879365079365,0.705879365079365
