Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9029426129426129,0.9029426129426129,0.9029426129426129,0.9029426129426129
100,3.0,0.5662148962148962,0.5662148962148962,0.5662148962148962,0.5662148962148962
100,5.0,0.7604517704517704,0.7604517704517704,0.7604517704517704,0.7604517704517704
200,,0.9018070818070818,0.9018070818070818,0.9018070818070818,0.9018070818070818
200,3.0,0.576153846153846,0.576153846153846,0.576153846153846,0.576153846153846
200,5.0,0.7748840048840048,0.7748840048840048,0.7748840048840048,0.7748840048840048
300,,0.9073504273504274,0.9073504273504274,0.9073504273504274,0.9073504273504274
300,3.0,0.5695482295482295,0.5695482295482295,0.5695482295482295,0.5695482295482295
300,5.0,0.7638461538461538,0.7638461538461538,0.7638461538461538,0.7638461538461538
