C,Kernel,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
0.1,linear,0.20555555555555555,0.20555555555555555,0.20555555555555555,0.20555555555555555
0.1,rbf,0.23427350427350424,0.23427350427350424,0.23427350427350424,0.23427350427350424
0.1,sigmoid,0.2408547008547009,0.2408547008547009,0.2408547008547009,0.2408547008547009
1.0,linear,0.23109890109890108,0.23109890109890108,0.23109890109890108,0.23109890109890108
1.0,rbf,0.23316239316239312,0.23316239316239312,0.23316239316239312,0.23316239316239312
1.0,sigmoid,0.23205128205128203,0.23205128205128203,0.23205128205128203,0.23205128205128203
