C,Kernel,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
0.1,linear,0.22888888888888886,0.22888888888888886,0.22888888888888886,0.22888888888888886
0.1,rbf,0.23206349206349203,0.23206349206349203,0.23206349206349203,0.23206349206349203
0.1,sigmoid,0.2408547008547009,0.2408547008547009,0.2408547008547009,0.2408547008547009
1.0,linear,0.2010989010989011,0.2010989010989011,0.2010989010989011,0.2010989010989011
1.0,rbf,0.23206349206349203,0.23206349206349203,0.23206349206349203,0.23206349206349203
1.0,sigmoid,0.23864468864468869,0.23864468864468869,0.23864468864468869,0.23864468864468869
