Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.9007203907203907,0.9007203907203907,0.9007203907203907,0.9007203907203907
100,3.0,0.5772893772893772,0.5772893772893772,0.5772893772893772,0.5772893772893772
100,5.0,0.776056166056166,0.776056166056166,0.776056166056166,0.776056166056166
200,,0.8995848595848596,0.8995848595848596,0.8995848595848596,0.8995848595848596
200,3.0,0.5706593406593405,0.5706593406593405,0.5706593406593405,0.5706593406593405
200,5.0,0.7638217338217338,0.7638217338217338,0.7638217338217338,0.7638217338217338
300,,0.8996092796092796,0.8996092796092796,0.8996092796092796,0.8996092796092796
300,3.0,0.5695604395604394,0.5695604395604394,0.5695604395604394,0.5695604395604394
300,5.0,0.7549816849816849,0.7549816849816849,0.7549816849816849,0.7549816849816849
