Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.912844932844933,0.912844932844933,0.912844932844933,0.912844932844933
100,3.0,0.8246153846153847,0.8246153846153847,0.8246153846153847,0.8246153846153847
100,5.0,0.8830647130647131,0.8830647130647131,0.8830647130647131,0.8830647130647131
200,,0.9139438339438339,0.9139438339438339,0.9139438339438339,0.9139438339438339
200,3.0,0.8235042735042736,0.8235042735042736,0.8235042735042736,0.8235042735042736
200,5.0,0.8841514041514043,0.8841514041514043,0.8841514041514043,0.8841514041514043
300,,0.9139560439560439,0.9139560439560439,0.9139560439560439,0.9139560439560439
300,3.0,0.8235164835164837,0.8235164835164837,0.8235164835164837,0.8235164835164837
300,5.0,0.8841514041514043,0.8841514041514043,0.8841514041514043,0.8841514041514043
